Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches\
11,Carles Ale\'f1\'e1\\Carles-Alena,es ESP,MF,Barcelona,21,1998,4,2,172,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches\
12,Carles Ale\'f1\'e1\\Carles-Alena,es ESP,MFFW,Betis,21,1998,17,7,735,8.2,1,0,1,0,0,1,0,0.12,0,0.12,0.12,0.12,1.1,1.1,0.2,1.3,0.14,0.02,0.16,0.14,0.16,Matches\
13,Sergio \'c1lvarez\\Sergio-Alvarez,es ESP,MFDF,Eibar,27,1992,18,14,1147,12.7,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.02,0.02,0.04,0.02,0.04,Matches\
14,Sergio \'c1lvarez\\Sergio-Alvarez,es ESP,GK,Celta Vigo,32,1986,2,2,180,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches\
15,Yeray \'c1lvarez\\Yeray-Alvarez,es ESP,DF,Athletic Club,24,1995,32,32,2810,31.2,0,0,0,0,0,2,0,0,0,0,0,0,1.2,1.2,0.5,1.7,0.04,0.02,0.05,0.04,0.05,Matches\
16,Ibrahim Amadou\\Ibrahim-Amadou,fr FRA,MF,Legan\'e9s,26,1993,10,9,770,8.6,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0,0.4,0.04,0,0.04,0.04,0.04,Matches\
17,Amath\\Amath,sn SEN,MF,Getafe,23,1996,7,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches\
18,Miguel \'c1ngel Guerrero\\Miguel-Angel-Guerrero,es ESP,FW,Legan\'e9s,29,1990,13,9,790,8.8,1,0,1,0,1,0,0,0.11,0,0.11,0.11,0.11,2.4,1.7,0.6,2.2,0.27,0.07,0.34,0.19,0.25,Matches\
19,Miguel \'c1ngel Moy\'e1\\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,35,1984,13,13,1170,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches\
20,Jos\'e9 \'c1ngel\\Jose-Angel,es ESP,DF,Eibar,29,1989,28,27,2360,26.2,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,0.6,0.6,2.4,3,0.02,0.09,0.12,0.02,0.12,Matches\
21,Anto\'f1ito\\Antonito,es ESP,DFMF,Valladolid,31,1987,15,11,1029,11.4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,1.6,1.6,0.01,0.14,0.14,0.01,0.14,Matches\
22,Vitorino Antunes\\Vitorino-Antunes,pt POR,MF,Getafe,32,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches\
23,Anuar\\Anuar,ma MAR,MFFW,Valladolid,24,1995,11,1,189,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches\
24,Mauro Arambarri\\Mauro-Arambarri,uy URU,MF,Getafe,23,1995,35,34,3069,34.1,1,1,1,0,0,11,1,0.03,0.03,0.06,0.03,0.06,2,2,1.6,3.6,0.06,0.05,0.1,0.06,0.1,Matches\
25,N\'e9stor Araujo\\Nestor-Araujo,mx MEX,DF,Celta Vigo,27,1991,34,32,2888,32.1,1,2,1,0,0,10,0,0.03,0.06,0.09,0.03,0.09,0.8,0.8,0.2,1.1,0.03,0.01,0.03,0.03,0.03,Matches\
26,Ronald Ara\'fajo\\Ronald-Araujo,uy URU,DF,Barcelona,20,1999,6,2,238,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0.2,0,0.2,0.09,0,0.09,0.09,0.09,Matches\
27,Anaitz Arbilla\\Anaitz-Arbilla,es ESP,DF,Eibar,32,1987,24,22,2007,22.3,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,0.7,0.7,0.1,0.8,0.03,0.01,0.04,0.03,0.04,Matches\
28,Alphonse Areola\\Alphonse-Areola,fr FRA,GK,Real Madrid,26,1993,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches\
29,Santiago Arias\\Santiago-Arias,co COL,DF,Atl\'e9tico Madrid,27,1992,14,11,1076,12,0,1,0,0,0,1,0,0,0.08,0.08,0,0.08,0.5,0.5,1.1,1.6,0.04,0.09,0.13,0.04,0.13,Matches\
